year,party,candidate
1952,Democratic,"Stevenson, Adlai"
1952,Republican,"Eisenhower, Dwight"
1956,Democratic,"Stevenson, Adlai"
1956,Republican,"Eisenhower, Dwight"
1960,Democratic,"Kennedy, Jack (JFK)"
1960,Republican,"Nixon, Richard"
1964,Democratic,"Johnson, Lyndon (LBJ)"
1964,Republican,"Goldwater, Barry"
1968,American Independent,"Wallace, George"
1968,Democratic,"Humphrey, Hubert"
1968,Republican,"Nixon, Richard"
1972,Democratic,"McGovern, George"
1972,Republican,"Nixon, Richard"
1976,Democratic,"Carter, Jimmy"
1976,Republican,"Ford, Gerald"
1980,Democratic,"Carter, Jimmy"
1980,Independent,"Anderson, John"
1980,Republican,"Reagan, Ronald"
1984,Democratic,"Mondale, Walter"
1984,Republican,"Reagan, Ronald"
1988,Democratic,"Dukakis, Michael"
1988,Republican,"Bush, George H.W."
1992,Democratic,"Clinton, Bill"
1992,Independent,"Perot, Ross"
1992,Republican,"Bush, George H.W."
1996,Democratic,"Clinton, Bill"
1996,Reform,"Perot, Ross"
1996,Republican,"Dole, Bob"
2000,Democratic,"Gore, Al"
2000,Green,"Nader, Ralph"
2000,Republican,"Bush, George W."
2004,Democratic,"Kerry, John"
2004,Republican,"Bush, George W."
2008,Democratic,"Obama, Barack"
2008,Republican,"McCain, John"
2012,Democratic,"Obama, Barack"
2012,Republican,"Romney, Mitt"
2016,Democratic,"Clinton, Hillary"
2016,Libertarian,"Johnson, Gary"
2016,Republican,"Trump, Donald"
